Organization,Partner Type,Region,City,Website,Contact Name,Contact Title,Email,Phone,LinkedIn,Asset Focus,Development Focus,Texas Markets,Typical Project Scale,JV Experience,Land Contribution Potential,Capital Contribution Potential,Development Contribution Potential,Facility Contribution Potential,Strategic Fit,CE Relevance,JV Thesis,Source,Source URL,Research Date,Status,Next Action
TexAmericas Center,Economic development strategic partner,East Texas,Texarkana,https://www.texamericascenter.com/,Eric Voyles,Executive VP and Chief Economic Development Officer,Eric.Voyles@TexAmericasCenter.com,9032239841,,Industrial; manufacturing; logistics,Land acquisition; entitlement; design; construction; build-to-suit,Texarkana,Official site describes a Texas redevelopment authority and industrial-park owner delivering customized build-to-suit facilities and construction financing,Unknown,Unknown,Unknown,Yes,Yes,High,Industrial owner/developer with direct build-to-suit permitting financing and logistics capabilities.,Potential site and facility-development path for a CE manufacturing facility.,Official organization website,https://www.texamericascenter.com/commercial-real-estate-professionals/build-to-suit-and-design-build-services/,2026-08-20,Prospect,Review site geography and project-fit brief before qualification
Corpus Christi Regional EDC,Economic development strategic partner,Port Houston,Corpus Christi,https://www.ccredc.com/,Robert Kelley,VP Marketing and Attraction,rkelley@ccredc.com,3618827448,,Industrial; port logistics,Qualified-site inventory; engineering and environmental diligence,Corpus Christi; Coastal Bend,Official program documents development-ready industrial sites vetted through engineering and environmental diligence,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Qualified-site and site-readiness partner rather than presumed JV capital provider.,Use qualified-site program to identify coastal facility alternatives.,Official organization website,https://www.ccredc.com/qualifiedsites,2026-08-20,Prospect,Review Coastal Bend industrial site inventory
Heart of Texas Economic Development District,Economic development strategic partner,Other Texas,Waco,https://www.hotcogtx.gov/hotedd/workforce/site-selection,General information,Site selection staff,info@hot.cog.tx.us,2542921800,,Industrial; manufacturing; distribution,Site selection; regional economic development,Waco; Heart of Texas,Official site documents industrial parks and local economic-development partner connections across the Heart of Texas region,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Regional site-selection and partner-referral source for Central Texas facility alternatives.,Use for site and local EDC referrals rather than direct capital outreach.,Official organization website,https://www.hotcogtx.gov/hotedd/workforce/site-selection,2026-08-20,Prospect,Identify specific industrial park or local EDC path
Deep East Texas Council of Governments,Economic development strategic partner,East Texas,Jasper,https://www.detcog.gov/economic-development,,,,,Industrial; commercial,Development-ready site data; infrastructure; grant administration,Deep East Texas,Official SiteSelect program connects businesses developers and communities to property infrastructure and workforce data,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Source for development-ready East Texas sites and regional EDC connections.,Review SiteSelect inventory for relevant industrial locations.,Official organization website,https://www.detcog.gov/economic-development,2026-08-20,Prospect,Review development-ready site data and partners
Longview Economic Development Corporation,Economic development strategic partner,East Texas,Longview,https://longviewusa.com/,,,,,Manufacturing; industrial,Industrial business parks; utility and transportation infrastructure,Longview; East Texas,Official site reports manufacturing workforce and business-park availability with utilities and road infrastructure,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,East Texas manufacturing and industrial-site ecosystem source.,Review Longview Business Park and Northpark availability.,Official organization website,https://longviewusa.com/,2026-08-20,Prospect,Assess Longview facility suitability and referral path
Paris Economic Development Corporation,Landowner land developer,East Texas,Paris,https://selectparistexas.com/,PEDC,Property owner contact,pedc@selectparistexas.com,9037846964,,Industrial land; rail-served site,Land ownership; build-to-suit; site readiness,Paris; Northeast Texas,Official page documents PEDC ownership of 200 acres with rail utility access Phase I environmental review and build-to-suit potential,Yes,Unknown,Unknown,Yes,Unknown,High,Publicly owned rail-served industrial land with documented utility and diligence readiness.,Potential land and site-readiness relationship for a manufacturing facility.,Official organization website,https://selectparistexas.com/location/200-acres-south-west-industrial-park/,2026-08-20,Prospect,Review site-specific operating and logistics fit
Cedar Park Economic Development Corporation,Economic development strategic partner,Austin,Cedar Park,https://cedarparktexasedc.com/,,,,,Advanced manufacturing; technology,Available sites; incentives; utility-ready land,Austin; Cedar Park,Official site documents corporate parks hundreds of acres utility-ready sites incentives and advanced-manufacturing ecosystem activity,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Austin-area site and ecosystem path with public available-site resources.,Review available-site inventory and manufacturing ecosystem relevance.,Official organization website,https://cedarparktexasedc.com/,2026-08-20,Prospect,Identify site or strategic-partner referral relevant to CE
Texas First Regional Development Corporation,Economic development strategic partner,East Texas,Kilgore,https://texasfirstrdc.com/,Lisa Denton,Regional development contact,lisa@texasfirstrdc.com,9039833522,,Advanced manufacturing; logistics,Industrial growth; site readiness; infrastructure,Northeast Texas,Official page describes a seven-community industrial-growth partnership with manufacturing logistics and utility readiness,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Regional coordination and referral path for Northeast Texas industrial locations.,Review member-community industrial sites and relevant contacts.,Official organization website,https://texasfirstrdc.com/,2026-08-20,Prospect,Identify member community with CE facility fit
Texarkana Industrial Development Corporation,Economic development strategic partner,East Texas,Texarkana,https://www.texarkanatexas.gov/464/Industrial-Development-Corporation,Ryan Galvan,Industrial Development Corporation contact,ryan.galvan@texarkanatexas.gov,9037983957,,Commercial; industrial; manufacturing,Economic-development project support,Texarkana,Official city page states the IDC supports commercial industrial and manufacturing enterprise development,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Public industrial-development contact for Texarkana ecosystem sourcing.,Determine whether TIDC can direct CE to viable industrial sites or programs.,Official government website,https://www.texarkanatexas.gov/464/Industrial-Development-Corporation,2026-08-20,Prospect,Request site and program orientation only after review
Mohr Capital,Real estate investment development,DFW,Dallas,https://mohrcap.com/,Gary Horn,Chief Development Officer,gary@mohrcap.com,2142152497,,Industrial; commercial,Site sourcing; entitlement; design; construction; funding,Texas; Dallas,Official build-to-suit page states Mohr uses in-house capital and debt relationships for tailored industrial-property delivery,Unknown,Yes,Unknown,Yes,Unknown,High,Development and capital capabilities may support a facility structure while CE retains technology IP.,Potential build-to-suit development and capital-partner conversation.,Official company website,https://mohrcap.com/services/build-to-suit/,2026-08-20,Prospect,Review Texas industrial portfolio and capital structure fit
