project_id,project_name,project_type,scenario_name,scenario_type,record_group,sku_id,metric,description,value,unit,data_state,source_reference,effective_date,owner_name,month_start,month_end,phase,include_in_model,notes
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,project_identity,IDENT-001,project_stage,project stage,development,other,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,project_identity,IDENT-002,program_units,program units,280,units,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,project_identity,IDENT-003,program_buildings,program buildings,5,units,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,project_identity,IDENT-004,program_residential_sf,program residential sf,258300,sf,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,project_identity,IDENT-005,program_gross_sf,program gross sf,258300,sf,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-001,development_cost,development cost,40000000,usd,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-002,development_cost_per_unit,development cost per unit,142857,usd_per_unit,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-003,development_cost_per_gross_sf,development cost per gross sf,155,usd_per_sf,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-004,stabilized_occupancy_bps,stabilized occupancy bps,9500,percentage_bps,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-005,operating_expense_ratio_bps,operating expense ratio bps,3203,percentage_bps,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-006,construction_debt_commitment,construction debt commitment,55000000,usd,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-007,construction_interest_rate_bps,construction interest rate bps,750,percentage_bps,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-008,construction_interest_only_months,construction interest only months,24,months,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-009,amortization_months,amortization months,360,months,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-010,financing_fee_bps,financing fee bps,100,percentage_bps,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
1,Cedarwood Flats,Multifamily Residential Development,Historical Planning — Cedarwood Baseline,custom,scenario_driver,DRV-011,exit_cap_rate_bps,exit cap rate bps,550,percentage_bps,estimated,"pasted_content_23.txt, Cedarwood Base Planning Case, user-supplied 2026-08-21",,jchappell2120,,,,yes,"Estimated/user-supplied historical planning scenario. No figure is an actual result, commitment, or funded-capital record."
