Organization,Partner Type,Region,Website,Source URL,Strategic Fit,JV Thesis,Source,Status,Next Action
Atascosa County Economic Development,economic_development_strategic_partner,San Antonio,https://atascosameansbusiness.com/,https://greatersatx.com/,Low,Regional industrial and economic-growth source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific industrial site or program
Bexar County Economic and Community Development,economic_development_strategic_partner,San Antonio,https://www.bexar.org/682/Economic-Community-Development,https://greatersatx.com/,Low,County economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Live Oak Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.liveoaktx.net/departments/economic-development-corporation,https://greatersatx.com/,Low,San Antonio-area economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Selma Economic Development,economic_development_strategic_partner,San Antonio,https://www.ci.selma.tx.us/143/Economic-Development,https://greatersatx.com/,Low,San Antonio-area economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Universal City Economic Development,economic_development_strategic_partner,San Antonio,https://www.universalcitytexas.gov/441/Economic-Development,https://greatersatx.com/,Low,San Antonio-area economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Windcrest Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://windcrest-txedc.com/,https://greatersatx.com/,Low,San Antonio-area economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Cibolo Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.cibolotx.gov/edc/about/cibolo_economic_development_corporation/index.php,https://greatersatx.com/,Low,San Antonio-area economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Schertz Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://schertzedc.com/,https://greatersatx.com/,Low,Industrial-development source at the I-35 and I-10 nexus not presumed to provide capital,greater:SATX official regional directory,research,Review industrial-site and facility fit
Seguin Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.seguinedc.com/,https://greatersatx.com/,Low,San Antonio-area site source with development-ready property context not presumed to provide capital,greater:SATX official regional directory,research,Review available property and logistics fit
Boerne Kendall County Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://bkcedc.com/,https://greatersatx.com/,Low,Hill Country economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Kerr Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://kerredc.com/,https://greatersatx.com/,Low,Regional economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Castroville Economic Development,economic_development_strategic_partner,San Antonio,https://www.castrovilletx.gov/2491/Economic-Development,https://greatersatx.com/,Low,Regional economic-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
Hondo Economic Development Corporation,economic_development_strategic_partner,San Antonio,https://www.hondo-tx.org/244/Economic-Development-EDC,https://greatersatx.com/,Low,Regional transport and industrial-development source not presumed to provide capital,greater:SATX official regional directory,research,Review rail airport and site context
Medina County Economic Development,economic_development_strategic_partner,San Antonio,https://www.gomedinacounty.com/,https://greatersatx.com/,Low,County business-development source not presumed to provide capital,greater:SATX official regional directory,research,Identify facility-specific program
