project_id,project_name,project_type,scenario_name,scenario_type,record_group,sku_id,metric,description,value,unit,data_state,source_reference,effective_date,owner_name,month_start,month_end,phase,include_in_model,notes
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,project_identity,IDENT-001,project_stage,project stage,development,other,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,project_identity,IDENT-002,program_units,program units,4,units,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,project_identity,IDENT-003,program_buildings,program buildings,1,units,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,project_identity,IDENT-004,program_residential_sf,program residential sf,100000,sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,project_identity,IDENT-005,program_gross_sf,program gross sf,100000,sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-001,development_cost,development cost,41000000,usd,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-002,development_cost_per_unit,development cost per unit,10250000,usd_per_unit,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-003,development_cost_per_gross_sf,development cost per gross sf,410,usd_per_sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-004,stabilized_occupancy_bps,stabilized occupancy bps,8500,percentage_bps,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-005,operating_expense_ratio_bps,operating expense ratio bps,4500,percentage_bps,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
5,Chappell International Manufacturing Facility,Manufacturing / Industrial Facility,Historical Planning — Facility CapEx,custom,scenario_driver,DRV-006,construction_debt_commitment,construction debt commitment,26650000,usd,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied facility CapEx scenario. The $300M broader CE scaling reference is retained separately and is not facility CapEx or funded capital.
