project_id,project_name,project_type,scenario_name,scenario_type,record_group,sku_id,metric,description,value,unit,data_state,source_reference,effective_date,owner_name,month_start,month_end,phase,include_in_model,notes
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,project_identity,IDENT-001,project_stage,project stage,development,other,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,project_identity,IDENT-002,program_units,program units,300,units,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,project_identity,IDENT-003,program_buildings,program buildings,300,units,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,project_identity,IDENT-004,program_residential_sf,program residential sf,570000,sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,project_identity,IDENT-005,program_gross_sf,program gross sf,630000,sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-001,development_cost,development cost,174600000,usd,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-002,development_cost_per_unit,development cost per unit,582000,usd_per_unit,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-003,development_cost_per_gross_sf,development cost per gross sf,277,usd_per_sf,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-004,stabilized_occupancy_bps,stabilized occupancy bps,10000,percentage_bps,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-005,operating_expense_ratio_bps,operating expense ratio bps,0,percentage_bps,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
3,Stonepine Residences,Single-Family Residential Development / Subdivision,Historical Planning — Base Case (Superseded),custom,scenario_driver,DRV-006,construction_debt_commitment,construction debt commitment,113490000,usd,estimated,"pasted_content_20.txt, CE Development Portfolio Financial Baseline, user-supplied 2026-08-21",,jchappell2120,,,,yes,Estimated/user-supplied historical planning base case.
