Organization,Partner Type,Region,Website,Source URL,Strategic Fit,JV Thesis,Source,Status,Next Action
Partners Development,industrial_developer,DFW,https://partnersrealestate.com/,https://partnersrealestate.com/partners-development/,High,Potential full-cycle industrial and build-to-suit facility partner,Official company website,prospect,Review project and geographic overlap
Lovett Industrial,industrial_developer,Houston,https://lovettindustrial.com/,https://lovettindustrial.com/,High,Potential industrial development and facility-capital counterparty,Official company website,prospect,Review relevant Texas project types
Titan Development,industrial_developer,Austin,https://www.titan-development.com/,https://www.titan-development.com/industrial,High,Potential industrial-land and build-to-suit facility partner,Official company website,prospect,Review active industrial parks
Forterra Developers,landowner_land_developer,Austin,https://www.forterradev.com/,https://www.forterradev.com/,Medium,Potential land-development relationship requiring industrial qualification,Official company website,research,Confirm industrial project and facility fit
HPI,real_estate_investment_development,Austin,https://www.hpitx.com/,https://www.hpitx.com/services/commercial-development/,High,Potential Texas industrial-development partnership candidate,Official company website,prospect,Review ownership and capital-partner appetite
Austin Commercial,facility_manufacturing_partner,DFW,https://www.austin-ind.com/,https://www.austin-ind.com/our-company/commercial,Medium,Potential facility-delivery partner after capital counterparty is defined,Official company website,research,Determine strategic delivery relevance
Ironwood Realty Partners,industrial_developer,DFW,https://ironwoodrp.com/,https://ironwoodrp.com/,High,Potential DFW industrial development and facility formation partner,Official company website,prospect,Review ownership and industrial project overlap
Merit CRE,industrial_developer,San Antonio,https://www.meritcre.com/,https://www.meritcre.com/project/innovation-industrial-park,High,Potential heavy-industrial build-to-suit facility partner,Official project website,prospect,Review site suitability and owner structure
Prologis,logistics_transportation_partner,San Antonio,https://www.prologis.com/,https://www.prologis.com/industrial-properties/united-states/san-antonio-industrial-logistics-and-warehouses,Medium,Potential facility operator relationship requiring JV qualification,Official company website,research,Qualify strategic and JV fit
TexAmericas Center,economic_development_strategic_partner,East Texas,https://www.texamericascenter.com/,https://www.texamericascenter.com/commercial-real-estate-professionals/build-to-suit-and-design-build-services/,High,Potential site and facility-development path for manufacturing,Official organization website,prospect,Review site geography and project brief
Corpus Christi Regional EDC,economic_development_strategic_partner,Port Houston,https://www.ccredc.com/,https://www.ccredc.com/qualifiedsites,Medium,Potential qualified-site and coastal facility source,Official organization website,prospect,Review coastal qualified-site inventory
Heart of Texas Economic Development District,economic_development_strategic_partner,Other Texas,https://www.hotcogtx.gov/,https://www.hotcogtx.gov/hotedd/workforce/site-selection,Medium,Potential Central Texas site-selection and referral path,Official organization website,prospect,Identify relevant industrial park
Deep East Texas Council of Governments,economic_development_strategic_partner,East Texas,https://www.detcog.gov/,https://www.detcog.gov/economic-development,Medium,Potential East Texas site-selection and regional partner source,Official organization website,prospect,Review development-ready sites
Longview Economic Development Corporation,economic_development_strategic_partner,East Texas,https://longviewusa.com/,https://longviewusa.com/,Medium,Potential East Texas manufacturing and industrial-site ecosystem source,Official organization website,prospect,Assess business-park suitability
Paris Economic Development Corporation,landowner_land_developer,East Texas,https://selectparistexas.com/,https://selectparistexas.com/location/200-acres-south-west-industrial-park/,High,Potential rail-served industrial land and site-readiness relationship,Official organization website,prospect,Review site operating and logistics fit
Cedar Park Economic Development Corporation,economic_development_strategic_partner,Austin,https://cedarparktexasedc.com/,https://cedarparktexasedc.com/,Medium,Potential Austin-area site and manufacturing-ecosystem path,Official organization website,prospect,Identify relevant site or referral
Texas First Regional Development Corporation,economic_development_strategic_partner,East Texas,https://texasfirstrdc.com/,https://texasfirstrdc.com/,Medium,Potential Northeast Texas industrial-location coordination path,Official organization website,prospect,Review member-community industrial sites
Texarkana Industrial Development Corporation,economic_development_strategic_partner,East Texas,https://www.texarkanatexas.gov/,https://www.texarkanatexas.gov/464/Industrial-Development-Corporation,Medium,Potential Texarkana industrial ecosystem source,Official government website,prospect,Determine viable site or program path
Mohr Capital,real_estate_investment_development,DFW,https://mohrcap.com/,https://mohrcap.com/services/build-to-suit/,High,Potential build-to-suit development and capital-partner conversation,Official company website,prospect,Review Texas industrial portfolio and capital fit
42 Real Estate,real_estate_investment_development,DFW,https://www.42realestate.com/,https://www.42realestate.com/build-to-suit,Medium,Potential end-to-end facility developer requiring Texas project qualification,Official company website,research,Review Texas industrial work
Perot Development Company,industrial_developer,DFW,https://perotdevelopment.com/,https://perotdevelopment.com/,High,Potential DFW or Houston facility-development counterparty,Official company website,prospect,Review relevant portfolio and geographic overlap
J. A. Billipp Company,industrial_developer,Houston,https://www.jabillipp.com/,https://www.jabillipp.com/build-to-suit,Medium,Potential Houston build-to-suit facility-development path,Official company website,research,Review active industrial work
VanTrust Real Estate,industrial_developer,San Antonio,https://vantrustrealestate.com/,https://vantrustrealestate.com/vantrust-acquires-60-acres-begins-design-on-nearly-414000-square-feet-of-spec-industrial-space-in-the-northeast-san-antonio/,High,Potential San Antonio industrial development partner,Official company announcement,prospect,Review facility type and development-capital approach
Waller County Economic Development Partnership,economic_development_strategic_partner,Houston,https://wallercounty.org/,https://wallercounty.org/,Medium,Potential west-Houston site-selection and funding-resource referral path,Official organization website,prospect,Review local industrial network
City of El Paso Economic and International Development,economic_development_strategic_partner,El Paso,https://elpasoeid.com/,https://elpasoeid.com/key-industries/advanced-manufacturing,Medium,Potential advanced-manufacturing district and ecosystem path,Official government website,prospect,Review advanced manufacturing district fit
Texas Manufacturing Assistance Center,economic_development_strategic_partner,Other Texas,https://tmac.org/,https://www.planotexas.org/texas-manufacturing-assistance-center,Medium,Potential statewide manufacturing capability and supplier-relationship resource,Official organization website,prospect,Assess operating-support relevance
City of La Porte Economic Development,economic_development_strategic_partner,Port Houston,https://www.laportetx.gov/,https://www.laportetx.gov/208/Industrial-Districts,Medium,Potential Houston Ship Channel industrial-district and incentive path,Official government website,prospect,Review industrial-district constraints and incentives
