Organization,Partner Type,Region,Website,Source URL,Status
Partners Development,industrial_developer,DFW,https://partnersrealestate.com/,https://partnersrealestate.com/partners-development/,prospect
Lovett Industrial,industrial_developer,Houston,https://lovettindustrial.com/,https://lovettindustrial.com/,prospect
Titan Development,industrial_developer,Austin,https://www.titan-development.com/,https://www.titan-development.com/industrial,prospect
Forterra Developers,landowner_land_developer,Austin,https://www.forterradev.com/,https://www.forterradev.com/,research
HPI,real_estate_investment_development,Austin,https://www.hpitx.com/,https://www.hpitx.com/services/commercial-development/,prospect
Austin Commercial,facility_manufacturing_partner,DFW,https://www.austin-ind.com/,https://www.austin-ind.com/our-company/commercial,research
Ironwood Realty Partners,industrial_developer,DFW,https://ironwoodrp.com/,https://ironwoodrp.com/,prospect
Merit CRE,industrial_developer,San Antonio,https://www.meritcre.com/,https://www.meritcre.com/project/innovation-industrial-park,prospect
Prologis,logistics_transportation_partner,San Antonio,https://www.prologis.com/,https://www.prologis.com/industrial-properties/united-states/san-antonio-industrial-logistics-and-warehouses,research
TexAmericas Center,economic_development_strategic_partner,East Texas,https://www.texamericascenter.com/,https://www.texamericascenter.com/commercial-real-estate-professionals/build-to-suit-and-design-build-services/,prospect
Corpus Christi Regional EDC,economic_development_strategic_partner,Port Houston,https://www.ccredc.com/,https://www.ccredc.com/qualifiedsites,prospect
Heart of Texas Economic Development District,economic_development_strategic_partner,Other Texas,https://www.hotcogtx.gov/,https://www.hotcogtx.gov/hotedd/workforce/site-selection,prospect
Deep East Texas Council of Governments,economic_development_strategic_partner,East Texas,https://www.detcog.gov/,https://www.detcog.gov/economic-development,prospect
Longview Economic Development Corporation,economic_development_strategic_partner,East Texas,https://longviewusa.com/,https://longviewusa.com/,prospect
Paris Economic Development Corporation,landowner_land_developer,East Texas,https://selectparistexas.com/,https://selectparistexas.com/location/200-acres-south-west-industrial-park/,prospect
Cedar Park Economic Development Corporation,economic_development_strategic_partner,Austin,https://cedarparktexasedc.com/,https://cedarparktexasedc.com/,prospect
Texas First Regional Development Corporation,economic_development_strategic_partner,East Texas,https://texasfirstrdc.com/,https://texasfirstrdc.com/,prospect
Texarkana Industrial Development Corporation,economic_development_strategic_partner,East Texas,https://www.texarkanatexas.gov/,https://www.texarkanatexas.gov/464/Industrial-Development-Corporation,prospect
Mohr Capital,real_estate_investment_development,DFW,https://mohrcap.com/,https://mohrcap.com/services/build-to-suit/,prospect
42 Real Estate,real_estate_investment_development,DFW,https://www.42realestate.com/,https://www.42realestate.com/build-to-suit,research
Perot Development Company,industrial_developer,DFW,https://perotdevelopment.com/,https://perotdevelopment.com/,prospect
J. A. Billipp Company,industrial_developer,Houston,https://www.jabillipp.com/,https://www.jabillipp.com/build-to-suit,research
VanTrust Real Estate,industrial_developer,San Antonio,https://vantrustrealestate.com/,https://vantrustrealestate.com/vantrust-acquires-60-acres-begins-design-on-nearly-414000-square-feet-of-spec-industrial-space-in-the-northeast-san-antonio/,prospect
Waller County Economic Development Partnership,economic_development_strategic_partner,Houston,https://wallercounty.org/,https://wallercounty.org/,research
City of El Paso Economic and International Development,economic_development_strategic_partner,El Paso,https://elpasoeid.com/,https://elpasoeid.com/key-industries/advanced-manufacturing,prospect
Texas Manufacturing Assistance Center,economic_development_strategic_partner,Other Texas,https://tmac.org/,https://www.planotexas.org/texas-manufacturing-assistance-center,prospect
City of La Porte Economic Development,economic_development_strategic_partner,Port Houston,https://www.laportetx.gov/,https://www.laportetx.gov/208/Industrial-Districts,prospect
Texas Governor's Office of Economic Development and Tourism,economic_development_strategic_partner,Other Texas,http://governor.state.tx.us/ecodev/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Alamo Area Council of Governments,economic_development_strategic_partner,San Antonio,https://www.aacog.com/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Brazos Valley Council of Governments,economic_development_strategic_partner,Other Texas,http://www.bvcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Capital Area Economic Development District,economic_development_strategic_partner,Austin,http://www.capcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Coastal Bend Council of Governments,economic_development_strategic_partner,Port Houston,http://www.cbcog98.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Concho Valley Economic Development District,economic_development_strategic_partner,Other Texas,http://www.cvcogedd.org/CVCOG/Home.aspx,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Development District of Central Texas,economic_development_strategic_partner,Other Texas,http://www.ddoct.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
East Texas Economic Development District,economic_development_strategic_partner,East Texas,https://www.etedd.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Golden Crescent Regional Planning Commission,economic_development_strategic_partner,South Texas,http://www.gcrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Gulf Coast Economic Development District,economic_development_strategic_partner,Houston,https://www.h-gac.com/gulf-coast-economic-development-district/default.aspx,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Lower Rio Grande Valley Development Council,economic_development_strategic_partner,South Texas,http://www.lrgvdc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Middle Rio Grande Development Council,economic_development_strategic_partner,South Texas,http://www.mrgdc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
North Central Texas Council of Governments,economic_development_strategic_partner,DFW,https://www.nctcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Northeast Texas Economic Development District,economic_development_strategic_partner,East Texas,http://www.atcog.org/EconomicDev.php,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Nortex Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.nortexrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Panhandle Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.prpc.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
Permian Basin Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.pbrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,research
