Organization,Partner Type,Region,Website,Source URL,Strategic Fit,JV Thesis,Source,Status,Next Action
Clear Lake Shores Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.clearlakeshores-tx.gov/191/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
City of Deer Park,economic_development_strategic_partner,Houston,https://deerparktx.gov/,https://bayareahouston.com/member-cities/,Low,Municipal industrial-area source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Dickinson Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.dickinsonedc.com,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Friendswood Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.ci.friendswood.tx.us/459/Economic-Development,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Kemah Community Development Corporation,economic_development_strategic_partner,Houston,https://www.kemahtx.gov/155/Kemah-Community-Development-Corporation,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
La Marque Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.cityoflamarque.gov/289/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
League City Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.leaguecityedc.com/,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Nassau Bay Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.nassaubay.com/185/Economic-Development-Corporation,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Pasadena Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.pasadenaedc.com/,https://bayareahouston.com/member-cities/,Low,Municipal industrial-area source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Santa Fe Economic Development Corporation,economic_development_strategic_partner,Houston,https://www.santafetx.gov/economic/page/santa-fe-edc,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Seabrook Economic Development Corporation,economic_development_strategic_partner,Houston,http://seabrooktx.gov/162/SEDC,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Texas City Economic Development Corporation,economic_development_strategic_partner,Houston,http://www.texascityedc.com,https://bayareahouston.com/member-cities/,Low,Municipal industrial-area source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Webster Economic Development Corporation,economic_development_strategic_partner,Houston,https://cityofwebster.com/353/Economic-Development,https://bayareahouston.com/member-cities/,Low,Municipal economic-development source not presumed to provide capital,BAHEP official member-city directory,research,Identify relevant facility or incentive program
Rice University,economic_development_strategic_partner,Houston,https://www.rice.edu/,https://bayareahouston.com/academic-partners-2/,Low,Applied-research and workforce ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant manufacturing research or workforce path
San Jacinto College,economic_development_strategic_partner,Houston,https://www.sanjac.edu/,https://bayareahouston.com/academic-partners-2/,Low,Workforce and training ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant technical workforce path
University of Houston Clear Lake,economic_development_strategic_partner,Houston,https://www.uhcl.edu/,https://bayareahouston.com/academic-partners-2/,Low,Workforce and applied-research ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant workforce or research path
University of Houston,economic_development_strategic_partner,Houston,https://www.uh.edu/,https://bayareahouston.com/academic-partners-2/,Low,Workforce and applied-research ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant manufacturing research or workforce path
Texas A&M University at Galveston,economic_development_strategic_partner,Houston,https://www.tamug.edu/,https://bayareahouston.com/academic-partners-2/,Low,Maritime and workforce ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant logistics or maritime path
College of the Mainland,economic_development_strategic_partner,Houston,https://www.com.edu/index.html,https://bayareahouston.com/academic-partners-2/,Low,Technical-workforce ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant technical workforce path
Alvin Community College,economic_development_strategic_partner,Houston,https://www.alvincollege.edu/,https://bayareahouston.com/academic-partners-2/,Low,Technical-workforce ecosystem source not presumed to provide capital,BAHEP official academic-partner directory,research,Identify relevant technical workforce path
