Organization,Partner Type,Region,Website,Source URL,Strategic Fit,JV Thesis,Source,Status,Next Action
Texas Governor's Office of Economic Development and Tourism,economic_development_strategic_partner,Other Texas,http://governor.state.tx.us/ecodev/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Statewide economic-development and incentive source not presumed to be a JV counterparty,U.S. EDA Texas directory,research,Identify relevant facility and incentive program
Alamo Area Council of Governments,economic_development_strategic_partner,San Antonio,https://www.aacog.com/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Brazos Valley Council of Governments,economic_development_strategic_partner,Other Texas,http://www.bvcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Capital Area Economic Development District,economic_development_strategic_partner,Austin,http://www.capcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Coastal Bend Council of Governments,economic_development_strategic_partner,Port Houston,http://www.cbcog98.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Coastal regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify site and incentive program
Concho Valley Economic Development District,economic_development_strategic_partner,Other Texas,http://www.cvcogedd.org/CVCOG/Home.aspx,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Development District of Central Texas,economic_development_strategic_partner,Other Texas,http://www.ddoct.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
East Texas Economic Development District,economic_development_strategic_partner,East Texas,https://www.etedd.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Golden Crescent Regional Planning Commission,economic_development_strategic_partner,South Texas,http://www.gcrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Gulf Coast Economic Development District,economic_development_strategic_partner,Houston,http://www.h-gac.com/gulf-coast-economic-development-district/default.aspx,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Gulf Coast development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify industrial site and incentive program
Lower Rio Grande Valley Development Council,economic_development_strategic_partner,South Texas,http://www.lrgvdc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Border-region development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Middle Rio Grande Development Council,economic_development_strategic_partner,South Texas,http://www.mrgdc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,South Texas development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
North Central Texas Council of Governments,economic_development_strategic_partner,DFW,https://www.nctcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,DFW regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Northeast Texas Economic Development District,economic_development_strategic_partner,East Texas,http://www.atcog.org/EconomicDev.php,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Northeast Texas development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Nortex Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.nortexrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Regional development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Panhandle Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.prpc.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Panhandle development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
Permian Basin Regional Planning Commission,economic_development_strategic_partner,Other Texas,http://www.pbrpc.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,West Texas development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
South East Texas Economic Development District,economic_development_strategic_partner,Houston,http://www.setrpc.org/index.php,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Southeast Texas development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
South Plains Association of Governments,economic_development_strategic_partner,Other Texas,http://www.spag.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,South Plains development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
South Texas Development Council,economic_development_strategic_partner,South Texas,http://www.stdc.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,South Texas development source requiring additional accessible official evidence,U.S. EDA Texas directory,research,Locate accessible official program page
Texoma Council of Governments,economic_development_strategic_partner,DFW,http://www.texoma.cog.tx.us/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,North Texas development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
