Organization,Partner Type,Region,Website,Source URL,Strategic Fit,JV Thesis,Source,Status,Next Action
Fort Worth Economic Development Partnership,economic_development_strategic_partner,DFW,https://fortworthedp.com/,https://fortworthedp.com/,Medium,DFW business-attraction and logistics ecosystem source requiring facility-specific qualification,Official organization website,research,Identify industrial site and strategic partner path
City of Dallas Office of Economic Development,economic_development_strategic_partner,DFW,https://www.dallasecodev.org/,https://www.dallasecodev.org/,Low,Public incentive and real-estate source not presumed to provide capital,Official government website,research,Identify applicable incentive or location path
Greater Houston Partnership,economic_development_strategic_partner,Houston,https://houston.org/,https://houston.org/,Medium,Regional business-attraction and advanced-manufacturing ecosystem source requiring facility-specific qualification,Official organization website,research,Identify industry and site-selection contacts
Bay Area Houston Economic Partnership,economic_development_strategic_partner,Houston,https://bayareahouston.com/,https://bayareahouston.com/,Medium,Southeast Texas regional site-selection incentive and workforce source requiring facility-specific qualification,Official organization website,research,Identify relevant city and industrial cluster
Partnership Lake Houston,economic_development_strategic_partner,Houston,https://lakehouston.org/,https://lakehouston.org/,Low,Lake Houston business and community-development source not presumed to provide capital,Official organization website,research,Identify relevant member or site path
City of Houston Mayor's Office of Economic Development,economic_development_strategic_partner,Houston,https://www.houstontx.gov/ecodev/,https://www.houstontx.gov/ecodev/,Low,Public incentive and industrial-district source not presumed to provide capital,Official government website,research,Identify applicable incentive or industrial district
Opportunity Austin,economic_development_strategic_partner,Austin,https://opportunityaustin.com/,https://opportunityaustin.com/economic-development/,Medium,Austin advanced-manufacturing real-estate and workforce ecosystem source requiring facility-specific qualification,Official organization website,research,Identify real-estate and workforce path
City of Austin Economic Development,economic_development_strategic_partner,Austin,https://www.austintexas.gov/economic-development,https://www.austintexas.gov/economic-development,Low,Public incentive and business-support source not presumed to provide capital,Official government website,research,Identify applicable program
Texas Economic Development Corporation,economic_development_strategic_partner,Other Texas,https://businessintexas.com/,https://businessintexas.com/,Low,Statewide economic-development market source not presumed to provide capital,Official organization website,research,Identify regional site-selection path
Texas Economic Development and Tourism Office,economic_development_strategic_partner,Other Texas,https://gov.texas.gov/business,https://gov.texas.gov/business/page/transportation-logistics,Low,Statewide logistics and economic-development source not presumed to provide capital,Official government website,research,Identify transport and incentive resources
City of Fort Worth Economic Development,economic_development_strategic_partner,DFW,https://www.fortworthtexas.gov/departments/econdev,https://www.fortworthtexas.gov/departments/econdev,Low,Public DFW economic-development source not presumed to provide capital,Official government website,research,Identify applicable site or incentive path
Houston Galveston Area Council Gulf Coast Economic Development District,economic_development_strategic_partner,Houston,https://www.h-gac.com/gulf-coast-economic-development-district,https://www.h-gac.com/gulf-coast-economic-development-district,Low,Gulf Coast economic-development source not presumed to provide capital,Official organization website,research,Identify regional planning and infrastructure path
Capital Area Economic Development District,economic_development_strategic_partner,Austin,http://www.capcog.org/,https://www.eda.gov/grant-resources/economic-development-directory/tx,Low,Austin-region economic-development source not presumed to provide capital,U.S. EDA Texas directory,research,Identify facility-specific regional program
