Program Name,Sponsor,Mechanism Type,Government Level,Texas Region,Industry Focus,Program URL,Source URL,Source Label,Research Date
Texas Enterprise Fund,Texas Economic Development & Tourism,economic_development_incentive,state,Texas,economic development,https://gov.texas.gov/business/page/texas-enterprise-fund,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Events Trust Funds,Texas Economic Development & Tourism,economic_development_incentive,state,Texas,economic development,https://gov.texas.gov/business/page/event-trust-funds-program,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Governor's University Research Initiative,Texas Economic Development & Tourism,research_funding,state,Texas,research commercialization,https://gov.texas.gov/business/page/guri,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Enterprise Zone Program,Texas Economic Development & Tourism,economic_development_incentive,state,Texas,economic development,https://gov.texas.gov/business/page/texas-enterprise-zone-program,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Small Business Credit Initiative,Texas Economic Development & Tourism,loan,state,Texas,small business access to capital,https://gov.texas.gov/business/page/tsbci,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Skills Development Fund,Texas Workforce Commission,workforce_incentive,state,Texas,workforce training,https://www.twc.texas.gov/programs/skills-development-fund,https://www.twc.texas.gov/programs/skills-development-fund,Texas Workforce Commission Skills Development Fund,2026-08-21
Self-Sufficiency Fund,Texas Workforce Commission,workforce_incentive,state,Texas,workforce training,https://www.twc.texas.gov/programs/self-sufficiency-fund,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Jobs Energy Technology & Innovation,Texas Economic Development & Tourism,economic_development_incentive,state,Texas,capital investment and job creation,https://gov.texas.gov/business/page/texas-jobs-energy-technology-and-innovation-jeti,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Semiconductor Innovation Fund,Texas Economic Development & Tourism,research_funding,state,Texas,semiconductor manufacturing,https://gov.texas.gov/business/page/tsif,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Micro-Business Disaster Recovery Loan Program,Texas Economic Development & Tourism,loan,state,Texas,small business financing,https://gov.texas.gov/business/page/texas-micro-business-disaster-recovery-program,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Opportunity Zones,Texas Economic Development & Tourism,tax_credit,state,Texas,economic development,https://gov.texas.gov/business/page/opportunity-zones,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Industrial Revenue Bonds,Texas Economic Development & Tourism,loan,state,Texas,industrial development,https://gov.texas.gov/business/page/industrial-revenue-bonds,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Spaceport Trust Fund,Texas Economic Development & Tourism,other,state,Texas,aerospace infrastructure,https://gov.texas.gov/business/page/spaceport-trust-fund,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Economic Development & Diversification In-State Tuition for Employees,Texas Economic Development & Tourism,workforce_incentive,state,Texas,workforce development,https://gov.texas.gov/business/page/economic-development-diversification-in-state-tuition-for-employees,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
Texas Tax Code Section 23.03,Texas Economic Development & Tourism,tax_abatement,state,Texas,economic development,https://gov.texas.gov/business/page/texas-tax-code-section-23-03,https://gov.texas.gov/business/page/incentives,Texas Economic Development & Tourism Incentive & Financial Programs,2026-08-21
NSF SBIR Advanced Manufacturing,National Science Foundation,research_funding,federal,Texas eligible,advanced manufacturing automation modeling,https://seedfund.nsf.gov/topics/advanced-manufacturing/,https://seedfund.nsf.gov/topics/advanced-manufacturing/,NSF SBIR Advanced Manufacturing topic,2026-08-21
CESMII Smart Manufacturing Institute,Department of Energy,other,federal,Texas eligible,smart manufacturing,https://www.cesmii.org/,https://www.manufacturing.gov/,Manufacturing.gov program directory,2026-08-21
EPIXC Manufacturing USA Institute,Department of Energy,other,federal,Texas eligible,advanced manufacturing energy efficiency,https://epixc.org/,https://www.manufacturing.gov/,Manufacturing.gov program directory,2026-08-21
Empower to Grow,Small Business Administration,technical_assistance,federal,Texas eligible,small and medium manufacturers workforce,https://www.sba.gov/sba-learning-platform/empower-grow,https://www.manufacturing.gov/,Manufacturing.gov program directory,2026-08-21
Made in America Manufacturing Initiative,Small Business Administration,technical_assistance,federal,Texas eligible,small and medium manufacturers,https://www.sba.gov/manufacturing,https://www.manufacturing.gov/,Manufacturing.gov program directory,2026-08-21
Manufacturing Extension Partnership Center State Competition,National Institute of Standards and Technology,grant,federal,Texas eligible,advanced manufacturing technology,https://www.manufacturing.gov/,https://simpler.grants.gov/search,Official federal opportunity search,2026-08-21
Austin Energy Ceiling and Roof Insulation,Austin Energy,rebate,utility,Austin,energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
Austin Energy Chillers,Austin Energy,rebate,utility,Austin,energy efficiency,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,https://austinenergy.com/energy-efficiency/rebates-incentives/commercial,Austin Energy Commercial Rebates,2026-08-21
